; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
css3- exclusions; 10.0[ t 34]; 12; No[ g 53]; Nightly build; No; No; wrap-through
Shapes; Shapes; Shapes; Shapes; Shapes; Shapes; Shapes; Shapes
css- shapes-1; 
css- shapes-1; shape-margin; No; No; Nightly build; No; No; 
css- shapes-1; No; No; No; shape-outside; No; No; 
css- shapes-1; No; No; No; shape-image-threshold; No; No; 
Masking; Masking; Masking; Masking; Masking; Masking; Masking; Masking
CSS2; clip; 8.0; 12; 1.0; 85; Yes; 1.0
css- masking-1; 
css- masking-1; clip-path; No; 1.9.1; No; No; No; 
css- masking-1; No; No; clip-rule; No; No; No; No
css- masking-1; mask; No; No; Partial; Partial; Partial; Partial
css- masking-1; mask-box-image; No; No; Experimental; No; No; 
css- masking-1; No; No; No; mask-box-image-outset; No; No; 
css- masking-1; No; No; No; mask-box-image-repeat; No; No; 
css- masking-1; No; No; No; mask-box-image-slice; No; No; 
css- masking-1; No; No; No; mask-box-image-source; No; No; 
css- masking-1; No; No; No; mask-box-image-width; No; No; 
css- masking-1; mask-clip; No; No; Experimental; No; No; 
css- masking-1; No; No; No; Experimental; No; No; mask-image
css- masking-1; No; No; No; Experimental; No; No; mask-origin
css- masking-1; No; No; No; Experimental; No; No; mask-position
css- masking-1; No; No; No; Experimental; No; No; mask-repeat
css- masking-1; No; No; No; Experimental; No; No; mask-size
css- masking-1; No; No; mask-type; 20.0; No; No; No
Compositing and Blending; Compositing and Blending; Compositing and Blending; Compositing and Blending; Compositing and Blending; Compositing and Blending; Compositing and Blending; Compositing and Blending
compositing- 1; 
compositing- 1; mix-blend-mode; No; 32.0; No; No; No; 
compositing- 1; No; No; isolation; No; No; No; 36.0
compositing- 1; No; No; background-blend-mode; No; No; No; 30.0
Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects
filter- effects-1; 
filter- effects-1; filter; 13; 35.0[ g 54]; 18.0[ w 33]; No; No; 
filter- effects-1; No; flood-color; No; No; No; No; 
